hash_doc,gemma2-9b-it,llama3-70b-8192,llama3-8b-8192,mixtral-8x7b-32768
5359a8f70890,0.336363636,0.824841213,0.2725,0.481088056
45439f4cdcd4,0.256363636,0.888362411,0.191666667,0.280710887
8c604371f445,0.270909091,1.117133659,0.305833333,0.493982023
44b45c43161e,0.236363636,0.78646298,0.269166667,0.327231037
e955c85a818d,0.370909091,0.862080496,0.2475,0.565318666
9cf44390c1e0,0.267272727,0.802083557,0.2325,0.461809104
f2a2fc03865d,0.3,1.029818313,0.353333333,0.716074675
8ed5bf2c6460,0.22,0.883401205,0.178333333,0.61420477
63170414b2a4,0.158181818,0.872873941,0.3125,0.617643384
725b8205d830,0.198181818,0.374620276,0.2825,0.324654901
b76cd0cc1107,0.345454545,0.837796482,0.218333333,0.706599006
ecf0c6373070,0.310909091,0.752144982,0.2375,0.31991441
a31dfed8e457,0.189090909,0.638809959,0.25,0.562740455
cde838b93bf2,0.452727273,0.764954807,0.2775,0.692015896
4287c5bdebd7,0.221818182,0.792802121,0.200833333,0.416259404
3fe4daa9999c,0.523636364,0.911325024,0.2925,0.663469445
1b0eac613360,0.321818182,0.924303886,0.226666667,0.680666569
7e74cc05b23c,0.192727273,0.663335156,0.193333333,0.361239013
81fd553a42e8,0.238181818,0.716771407,0.2975,0.28638636
4f960a086cc3,0.245454545,0.946316953,0.24,0.366426733
55525eacb03b,0.207272727,0.725426639,0.2875,0.625533376
55ba865d2683,0.212727273,0.47140987,0.115,0.28441602
1b753053818b,0.323636364,0.769848972,0.261666667,0.695233162
ff86589b369c,0.289090909,0.668952961,0.37,0.699948906
949a9e9b10d3,0.165454545,0.560273966,0.195,0.710263484
9a88fc7b3e2d,0.212727273,0.772231523,0.318333333,0.546653291
98afe4a92d90,0.2,0.645580228,0.208333333,0.324475292
b761f0aa4c84,0.241818182,0.819477026,0.291666667,0.886583693
f98ca567211b,0.26,0.860978002,0.219166667,0.516692831
03d28eca0b9d,0.207272727,0.638263926,0.178333333,0.370906194
45732e1930a0,0.22,0.549685539,0.445,0.377483842
fedf9756a479,0.32,0.648469657,0.326666667,0.437923541
e890e5acaa22,0.229090909,0.930509068,0.3325,0.530154168
12dabf02e082,0.283636364,0.626877162,0.336666667,0.601767307
c0c3c8f9a126,0.158181818,1.036679918,0.364166667,0.743780358
993882f469d5,0.816363636,1.13536869,0.3175,0.860665517
495c0669e40f,0.416363636,0.873427646,0.35,0.677640785
eae6aee17c33,0.236363636,0.811748137,0.3,0.501679976
4147acd1d35e,0.341818182,0.838305178,0.255833333,0.305792046
7bff295c8576,0.26,0.779836151,0.290833333,0.381741842
12e82fb430da,0.247272727,0.546687484,0.201666667,0.569944344
3deba32bd8aa,0.227272727,0.621081545,0.230833333,0.732056745
cd1e07d9e100,0.205454545,0.651761652,0.291666667,0.2538258
209ba1e69523,0.274545455,1.182899085,0.284166667,0.90619219
f7626330f3e5,0.434545455,0.965615912,0.3475,0.348972924
e7b63f45fa00,0.22,0.896132896,0.269166667,0.459144838
ef46afa2cbff,0.210909091,0.989995,0.339166667,0.475504027
ad725cbfbd61,0.156363636,0.947749969,0.248333333,0.420476896
9c1a4bd0d170,0.252727273,0.680455538,0.184166667,0.310375351
a9c11a998bb3,0.221818182,0.48880622,0.22,0.323513368
eb470412c568,0.203636364,0.4470912,0.348333333,0.406497777
111b3d97c6d0,0.263636364,0.784941444,0.226666667,0.613215234
4533c83d76cb,0.28,0.388577183,0.1775,0.742772304
73be31546d86,0.345454545,0.598175925,0.255833333,0.415882743
3ef7785fdbfe,0.212727273,0.496939004,0.165,0.477626333
9d0467ce31fd,0.199063715,0.554182067,0.160833333,0.421389489
648ab715b158,0.489090909,0.564804091,0.159166667,0.488901483
7b4d2183f0a2,0.349090909,0.83857412,0.163333333,0.412712699
37eaa6830526,0.250909091,0.678271664,0.308333333,0.631150512
e390b0bb0934,0.203636364,0.25433302,0.204166667,0.526257126
e0c1f9d72c4c,0.258181818,0.613172856,0.208333333,0.497139128
92821d01d456,0.232727273,0.550132692,0.178333333,0.487462975
1f19c117f6eb,0.26,0.525716527,0.246666667,0.274664267
4c0c0035fea2,0.269090909,0.851374052,0.22,0.447249725
d0580ea0d867,0.249090909,0.680285588,0.240833333,0.648449786
a61154c86920,0.254545455,0.685527742,0.134166667,0.298785185
a0dc100358f9,0.478181818,0.645309231,0.338333333,0.738737368
2760d6620102,0.296363636,0.851529351,0.243333333,0.340152837
b87fc053adb3,0.185454545,0.893407907,0.238333333,0.522871574
6cea7a112bc0,0.181818182,0.747797022,0.265833333,0.692380787
6150689aecd0,0.22,0.8167271,0.295833333,0.576383439
14771a3a668b,0.185454545,0.731356191,0.196666667,0.453498236
4cf7be7f6166,0.334545455,0.823097186,0.405,0.593825511
e4b3ebf837d6,0.270909091,0.827182328,0.213333333,0.463526636
2ef9139721e2,0.196363636,0.992870849,0.299166667,0.638584006
af8c32d02618,0.243636364,0.714587241,0.334166667,0.56379681
3b45baf15ccf,0.232727273,0.872687842,0.250833333,0.631039496
